,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,-0.002959613
1942,A03,DR_20221209_143805,20.0,-0.00033180325
1943,A03,DR_20221209_143805,21.0,0.4964723
1944,A03,DR_20221209_143805,22.0,0.9685983
1945,A03,DR_20221209_143805,23.0,0.8595592
1946,A03,DR_20221209_143805,24.0,0.94167906
1947,A03,DR_20221209_143805,25.0,0.009028027
1948,A03,DR_20221209_143805,26.0,0.012924946
1949,A03,DR_20221209_143805,27.0,1.0243245
1950,A04,DR_20221209_143805,28.0,0.9949868
1951,A04,DR_20221209_143805,29.0,0.0015828058
1952,A04,DR_20221209_143805,30.0,0.9755112
1953,A04,DR_20221209_143805,31.0,0.94679254
1954,A04,DR_20221209_143805,32.0,0.032364838
1955,A04,DR_20221209_143805,33.0,1.0007681
1956,A04,DR_20221209_143805,34.0,0.99788266
1957,A04,DR_20221209_143805,35.0,0.060262054
1958,A04,DR_20221209_143805,36.0,0.9983073
1959,A05,DR_20221209_143805,37.0,0.0026804009
1960,A05,DR_20221209_143805,38.0,0.009061559
1961,A05,DR_20221209_143805,39.0,0.007940081
1962,A05,DR_20221209_143805,40.0,0.008587196
1963,A05,DR_20221209_143805,41.0,0.002897003
1964,A05,DR_20221209_143805,42.0,0.07637412
1965,A05,DR_20221209_143805,43.0,0.9930425
1966,A05,DR_20221209_143805,44.0,1.0067099
1967,A05,DR_20221209_143805,45.0,0.9094121
1968,A06,DR_20221209_143805,46.0,0.008906113
1969,A06,DR_20221209_143805,47.0,0.012389677
1970,A06,DR_20221209_143805,48.0,0.017495368
1971,A06,DR_20221209_143805,49.0,0.008587196
1972,A06,DR_20221209_143805,50.0,0.0065169563
1973,A06,DR_20221209_143805,51.0,0.08421178
1974,A06,DR_20221209_143805,52.0,0.014599207
1975,A06,DR_20221209_143805,53.0,0.0018908613
1976,A06,DR_20221209_143805,54.0,0.9727227
1977,A07,DR_20221209_143805,55.0,0.987056
1978,A07,DR_20221209_143805,56.0,0.98844486
1979,A07,DR_20221209_143805,57.0,1.0043094
1980,A07,DR_20221209_143805,58.0,1.0146526
1981,A07,DR_20221209_143805,59.0,0.010224363
1982,A07,DR_20221209_143805,60.0,0.009827454
1983,A07,DR_20221209_143805,61.0,1.001427
1984,A07,DR_20221209_143805,62.0,0.8800593
1985,A07,DR_20221209_143805,63.0,1.0037484
1986,A08,DR_20221209_143805,64.0,0.08142173
1987,A08,DR_20221209_143805,65.0,1.0127014
1988,A08,DR_20221209_143805,66.0,0.9743386
1989,A08,DR_20221209_143805,67.0,1.0341152
1990,A08,DR_20221209_143805,68.0,0.0063172774
1991,A08,DR_20221209_143805,69.0,1.0040447
1992,A08,DR_20221209_143805,70.0,0.99492055
1993,A08,DR_20221209_143805,71.0,0.08955308
1994,A08,DR_20221209_143805,72.0,0.0049073994
1995,A09,DR_20221209_143805,73.0,1.0133766
1996,A09,DR_20221209_143805,74.0,0.034718655
1997,A09,DR_20221209_143805,75.0,0.98264295
1998,A09,DR_20221209_143805,76.0,0.05521766
1999,A09,DR_20221209_143805,77.0,0.9902153
2000,A09,DR_20221209_143805,78.0,1.0336283
2001,A09,DR_20221209_143805,79.0,0.48751768
2002,A09,DR_20221209_143805,80.0,0.9784992
2003,A09,DR_20221209_143805,81.0,0.99062246
2004,A10,DR_20221209_143805,82.0,0.0019977486
2005,A10,DR_20221209_143805,83.0,0.98239493
2006,A10,DR_20221209_143805,84.0,0.98570853
2007,A10,DR_20221209_143805,85.0,1.0328695
2008,A10,DR_20221209_143805,86.0,1.0442723
2009,A10,DR_20221209_143805,87.0,0.870306
2010,A10,DR_20221209_143805,88.0,0.00949579
2011,A10,DR_20221209_143805,89.0,0.009252758
2012,A10,DR_20221209_143805,90.0,0.008568525
2013,A11,DR_20221209_143805,91.0,0.9833813
2014,A11,DR_20221209_143805,92.0,1.00411
2015,A11,DR_20221209_143805,93.0,1.0137906
2016,A11,DR_20221209_143805,94.0,1.0206171
2017,A11,DR_20221209_143805,95.0,1.0264891
2018,A11,DR_20221209_143805,96.0,1.0116433
2019,A11,DR_20221209_143805,97.0,0.99123305
2020,A11,DR_20221209_143805,98.0,1.0063101
2021,A11,DR_20221209_143805,99.0,0.9988988
2022,A12,DR_20221209_143805,100.0,0.08398046
2023,A12,DR_20221209_143805,101.0,1.0033448
2024,A12,DR_20221209_143805,102.0,0.475172
2025,A12,DR_20221209_143805,103.0,1.018707
2026,A12,DR_20221209_143805,104.0,1.0261792
2027,A12,DR_20221209_143805,105.0,0.008040436
2028,A12,DR_20221209_143805,106.0,0.98454636
2029,A12,DR_20221209_143805,107.0,1.0125082
2030,A12,DR_20221209_143805,108.0,0.9969257
2031,A13,DR_20221209_143805,109.0,0.7407988
2032,A13,DR_20221209_143805,110.0,1.0038481
2033,A13,DR_20221209_143805,111.0,1.0145565
2034,A13,DR_20221209_143805,112.0,1.0491973
2035,A13,DR_20221209_143805,113.0,1.0229194
2036,A13,DR_20221209_143805,114.0,1.0461259
2037,A13,DR_20221209_143805,115.0,1.0091914
2038,A13,DR_20221209_143805,116.0,1.0290608
2039,A13,DR_20221209_143805,117.0,1.0020005
2040,A14,DR_20221209_143805,118.0,1.0001533
2041,A14,DR_20221209_143805,119.0,0.0145581765
2042,A14,DR_20221209_143805,120.0,0.9934263
2043,A14,DR_20221209_143805,121.0,1.0121058
2044,A14,DR_20221209_143805,122.0,0.041644182
2045,A14,DR_20221209_143805,123.0,1.0113515
2046,A14,DR_20221209_143805,124.0,0.85890317
2047,A14,DR_20221209_143805,125.0,1.0663793
2048,A14,DR_20221209_143805,126.0,1.0127481
2049,A15,DR_20221209_143805,127.0,0.009285104
