,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,0.012512025
1942,A03,DR_20221209_143805,20.0,-0.01710082
1943,A03,DR_20221209_143805,21.0,0.15110591
1944,A03,DR_20221209_143805,22.0,0.011767767
1945,A03,DR_20221209_143805,23.0,0.17998992
1946,A03,DR_20221209_143805,24.0,0.14683792
1947,A03,DR_20221209_143805,25.0,-0.02375078
1948,A03,DR_20221209_143805,26.0,-0.014849494
1949,A03,DR_20221209_143805,27.0,-0.016497659
1950,A04,DR_20221209_143805,28.0,-0.025856541
1951,A04,DR_20221209_143805,29.0,0.085742354
1952,A04,DR_20221209_143805,30.0,0.075078785
1953,A04,DR_20221209_143805,31.0,0.010825626
1954,A04,DR_20221209_143805,32.0,0.0076851314
1955,A04,DR_20221209_143805,33.0,-0.021531133
1956,A04,DR_20221209_143805,34.0,-0.02491478
1957,A04,DR_20221209_143805,35.0,0.006958745
1958,A04,DR_20221209_143805,36.0,0.003601511
1959,A05,DR_20221209_143805,37.0,0.0033993376
1960,A05,DR_20221209_143805,38.0,-0.0055191424
1961,A05,DR_20221209_143805,39.0,0.01246704
1962,A05,DR_20221209_143805,40.0,-0.014991276
1963,A05,DR_20221209_143805,41.0,-0.0050985944
1964,A05,DR_20221209_143805,42.0,-0.009938057
1965,A05,DR_20221209_143805,43.0,0.007855793
1966,A05,DR_20221209_143805,44.0,0.004351391
1967,A05,DR_20221209_143805,45.0,-0.004073883
1968,A06,DR_20221209_143805,46.0,-0.006466088
1969,A06,DR_20221209_143805,47.0,0.002128293
1970,A06,DR_20221209_143805,48.0,0.007864132
1971,A06,DR_20221209_143805,49.0,-0.0023285104
1972,A06,DR_20221209_143805,50.0,0.0002605679
1973,A06,DR_20221209_143805,51.0,0.0019464304
1974,A06,DR_20221209_143805,52.0,-0.01759354
1975,A06,DR_20221209_143805,53.0,-0.018389516
1976,A06,DR_20221209_143805,54.0,0.017517596
1977,A07,DR_20221209_143805,55.0,0.0014985752
1978,A07,DR_20221209_143805,56.0,0.0053157923
1979,A07,DR_20221209_143805,57.0,0.004490657
1980,A07,DR_20221209_143805,58.0,-0.0038215718
1981,A07,DR_20221209_143805,59.0,0.0040014205
1982,A07,DR_20221209_143805,60.0,0.00066763896
1983,A07,DR_20221209_143805,61.0,-0.009144999
1984,A07,DR_20221209_143805,62.0,-0.009563007
1985,A07,DR_20221209_143805,63.0,0.0028509942
1986,A08,DR_20221209_143805,64.0,-0.0077384748
1987,A08,DR_20221209_143805,65.0,-0.0029048594
1988,A08,DR_20221209_143805,66.0,0.008295248
1989,A08,DR_20221209_143805,67.0,-0.0037265867
1990,A08,DR_20221209_143805,68.0,1.6455137e-05
1991,A08,DR_20221209_143805,69.0,0.0033470767
1992,A08,DR_20221209_143805,70.0,0.02046441
1993,A08,DR_20221209_143805,71.0,0.03839298
1994,A08,DR_20221209_143805,72.0,0.0044023264
1995,A09,DR_20221209_143805,73.0,0.020990679
1996,A09,DR_20221209_143805,74.0,0.009111867
1997,A09,DR_20221209_143805,75.0,-0.0048005385
1998,A09,DR_20221209_143805,76.0,-0.0066181533
1999,A09,DR_20221209_143805,77.0,0.29721686
2000,A09,DR_20221209_143805,78.0,-0.001580228
2001,A09,DR_20221209_143805,79.0,0.058453783
2002,A09,DR_20221209_143805,80.0,0.017153954
2003,A09,DR_20221209_143805,81.0,0.010925028
2004,A10,DR_20221209_143805,82.0,0.0004382459
2005,A10,DR_20221209_143805,83.0,0.04695145
2006,A10,DR_20221209_143805,84.0,0.02185581
2007,A10,DR_20221209_143805,85.0,0.057464488
2008,A10,DR_20221209_143805,86.0,0.30197316
2009,A10,DR_20221209_143805,87.0,-0.0110126715
2010,A10,DR_20221209_143805,88.0,-0.0038596531
2011,A10,DR_20221209_143805,89.0,0.0028516834
2012,A10,DR_20221209_143805,90.0,0.0021718543
2013,A11,DR_20221209_143805,91.0,0.0011874635
