condition	treatment	dose_uM	n_wells	map_median	mean_mean	mean_se	lower_median	upper_median	contrast_mean	frac_at_lower	frac_at_upper	boundary_flag
treatment	Esomeprazole	4e-4	3	35.1	36.20109043053141	0.05291166096729976	29.3	38.1	0.16787130011975224	0	0	NA
treatment	Esomeprazole	0.0012	3	35.1	35.92877718068555	0.1023950716607768	29	38.1	0.16639199211039984	0	0	NA
treatment	Esomeprazole	0.0037	3	35	35.991096899795096	0.302082093447603	29.5	38	0.16645170457837358	0	0	NA
treatment	Esomeprazole	0.011	3	35.2	36.4733079169869	0.14859927751538768	30	38.1	0.16833719814145137	0	0	NA
treatment	Esomeprazole	0.0329	3	35.1	36.1632997470755	0.1918731297115615	29.5	38.1	0.16592951970044512	0	0	NA
treatment	Esomeprazole	0.0988	3	35.2	36.369353605833375	0.09527477604805823	29.5	38.2	0.1676714125642591	0	0	NA
treatment	Esomeprazole	0.2963	3	35.1	36.45927982876286	0.18791167929263597	29.400000000000002	38.1	0.16463539358177107	0	0	NA
treatment	Esomeprazole	0.8889	3	34.9	29.654337806760907	6.303531167174852	27.400000000000002	37.9	0.15683378149106397	0	0	NA
treatment	Esomeprazole	2.6667	3	30.6	29.437790639093162	3.246245261641562	14.700000000000001	33.9	0.13832528390820667	0	0	NA
treatment	Esomeprazole	8	3	32.300000000000004	29.94641349601179	3.528088709786058	22.3	35.6	0.12923174574038687	0	0	NA
treatment	GW4064	4e-4	3	34.9	36.03244076096301	0.17688205731952453	29.1	37.9	0.16476554370894736	0	0	NA
treatment	GW4064	0.0012	3	34.9	35.951159288446725	0.18697627396774175	29.400000000000002	37.9	0.16298673773912453	0	0	NA
treatment	GW4064	0.0037	3	35.1	36.28670349845475	0.11774943107000362	29	38.1	0.1654538488402431	0	0	NA
treatment	GW4064	0.011	3	34.6	35.908460903978295	0.31582402436672974	28.8	37.7	0.1632968849957069	0	0	NA
treatment	GW4064	0.0329	3	34.6	35.37934295659844	0.40353833207999645	27.900000000000002	37.6	0.15749528734235038	0	0	NA
treatment	GW4064	0.0988	3	34.800000000000004	35.865466737752556	0.12865761263878747	28.700000000000003	37.800000000000004	0.1624563102190459	0	0	NA
treatment	GW4064	0.2963	3	34.1	34.71574177109312	0.1696581575911795	27.1	37.4	0.15081559782355347	0	0	NA
treatment	GW4064	0.8889	3	34.6	34.80877366776126	0.6656726566959155	25.6	37.6	0.15130356820934313	0	0	NA
treatment	GW4064	2.6667	3	33.9	34.075228410554416	0.8697770168816761	25.200000000000003	37.1	0.14875824552934366	0	0	NA
treatment	GW4064	8	3	34.9	35.982424857974834	0.09504452829360603	28.6	37.9	0.16227255531121149	0	0	NA
treatment	GW788388	4e-4	3	35.2	36.17935251959624	0.15535826116236162	29.5	38.1	0.16687645394721937	0	0	NA
treatment	GW788388	0.0012	3	35.1	36.15876435840442	0.16306567577172	28.900000000000002	38.1	0.16731523916459112	0	0	NA
treatment	GW788388	0.0037	3	35.2	36.3390331434574	0.08071901732364442	29.6	38.1	0.16584690004712851	0	0	NA
treatment	GW788388	0.011	3	35	35.86444718030121	0.15154461446284853	29.1	38	0.16576619217837718	0	0	NA
treatment	GW788388	0.0329	3	35	36.143354390974324	0.19008949506996473	29.700000000000003	38	0.16666349201358283	0	0	NA
treatment	GW788388	0.0988	3	35.2	36.05936549296076	0.2622159585671961	29.400000000000002	38.2	0.16570729558584205	0	0	NA
treatment	GW788388	0.2963	3	34.9	35.94577750438655	0.2213182839696632	28.5	37.9	0.1647661789577218	0	0	NA
treatment	GW788388	0.8889	3	35.2	36.15187774210913	0.195872414611265	28.8	38.2	0.1670545691839812	0	0	NA
treatment	GW788388	2.6667	3	35.1	36.149361158855804	0.11184369637560042	29.5	38	0.16658246143665997	0	0	NA
treatment	GW788388	8	3	35.2	36.4415984040038	0.058316745695697454	29.900000000000002	38.1	0.1704790799904746	0	0	NA
treatment	IMD 0354	4e-4	3	34.7	35.293726639330764	0.40323785542157864	26.900000000000002	37.800000000000004	0.1618261886177437	0	0	NA
treatment	IMD 0354	0.0012	3	34.9	35.80663592169603	0.0483484647974322	28.8	37.9	0.16308772103807512	0	0	NA
treatment	IMD 0354	0.0037	3	34.7	35.21698823707297	0.5001600360419631	26.700000000000003	37.800000000000004	0.15819071642504823	0	0	NA
treatment	IMD 0354	0.011	3	34.7	35.648194841939066	0.2317750437534831	28.8	37.7	0.1617865752964265	0	0	NA
treatment	IMD 0354	0.0329	3	34.7	35.54498702432746	0.4704812608272152	27.8	37.7	0.16422270290633179	0	0	NA
treatment	IMD 0354	0.0988	3	34.6	35.27047840322994	0.389674627722504	27.6	37.7	0.1604530588816794	0	0	NA
treatment	IMD 0354	0.2963	3	34.800000000000004	36.26287422852254	0.09296550508431568	28.900000000000002	37.800000000000004	0.1651259785808315	0	0	NA
treatment	IMD 0354	0.8889	3	35.2	36.60242030510013	0.05423978808543521	30.5	38.1	0.16857243566286034	0	0	NA
treatment	IMD 0354	2.6667	3	35	35.93266088546803	0.14303397222441677	28.6	38	0.164462077749921	0	0	NA
treatment	IMD 0354	8	1	30.8	27.015840034177458	NA	13.8	34.5	0.12049781634191287	0	0	NA
treatment	LY411575	4e-4	3	34.800000000000004	35.76819637748017	0.2851570922591907	28.3	37.800000000000004	0.1642818140016425	0	0	NA
treatment	LY411575	0.0012	2	34.5	35.193742959274694	0.3941325104370676	27.700000000000003	37.55	0.1598541073515015	0	0	NA
