treatment	dose_uM	expected_timepoint	expected_timepoint_scaled
Esomeprazole	4e-4	45.62377515104647	49.4544619784114
Esomeprazole	0.0012	45.03877590448359	48.82034472483556
Esomeprazole	0.0037	44.88717447953153	48.65601446322649
Esomeprazole	0.011	45.44528824589587	49.26098886411536
Esomeprazole	0.0329	45.41721669980545	49.230560360463315
Esomeprazole	0.0988	45.74690360026347	49.5879286016819
Esomeprazole	0.2963	46.0618466186339	49.929315027417196
Esomeprazole	0.8889	42.50911287031049	46.078284824541726
Esomeprazole	2.6667	42.63970663074226	46.219843565319074
Esomeprazole	8	41.612580725074125	45.10647758714791
GW4064	4e-4	44.83726787818717	48.601917578203604
GW4064	0.0012	45.295371365611665	49.09848458577822
GW4064	0.0037	45.87612876108683	49.72800383178803
GW4064	0.011	45.344038257401074	49.151237672116174
GW4064	0.0329	45.23755217473456	49.035810750318795
GW4064	0.0988	45.63326699671382	49.46475078329672
GW4064	0.2963	45.332206593166546	49.13841259161614
GW4064	0.8889	44.90121106914933	48.6712296001866
GW4064	2.6667	44.89682465383134	48.66647489041417
GW4064	8	45.96199379230436	49.82107830683013
GW788388	4e-4	45.460894069355405	49.2779049917345
GW788388	0.0012	45.49969332735755	49.31996193295221
GW788388	0.0037	45.823918925032004	49.67141032667969
GW788388	0.011	44.55201365903272	48.292712697882955
GW788388	0.0329	45.45217060890441	49.26844908761947
GW788388	0.0988	45.66765204169868	49.50202288307802
GW788388	0.2963	44.91338546632349	48.68442619034526
GW788388	0.8889	45.70422549396846	49.54166713431999
GW788388	2.6667	45.18320785545837	48.97690354541326
GW788388	8	45.338706132488824	49.14545784859513
IMD 0354	4e-4	45.68682736926296	49.52280821933771
IMD 0354	0.0012	44.41755698556951	48.14696670418744
IMD 0354	0.0037	45.351166027634655	49.1589639078527
IMD 0354	0.011	45.34069034066795	49.14760865587986
IMD 0354	0.0329	45.32728178067723	49.13307427949275
IMD 0354	0.0988	44.755535174082276	48.513322390844245
IMD 0354	0.2963	45.91719963575097	49.7725231203119
IMD 0354	0.8889	45.68435091963582	49.52012384077585
IMD 0354	2.6667	45.478266409666546	49.29673595739985
IMD 0354	8	38.19828114700384	41.405504835384946
LY411575	4e-4	45.24868621463612	49.04787963219355
LY411575	0.0012	44.22301158747192	47.936086785516984
LY411575	0.0037	43.17742895987885	46.80271441266101
LY411575	0.011	43.88098035242759	47.565337748355354
LY411575	0.0329	44.58592816800498	48.32947475426546
LY411575	0.0988	37.159032105958325	40.27899783292119
LY411575	0.2963	10.086579408162581	10.933473965750117
LY411575	0.8889	7.699423931977481	8.34588691617549
LY411575	2.6667	11.496836128370555	12.462139384567935
LY411575	8	8.729734781846272	9.462705254467078
Pralatrexate	4e-4	44.76345029534934	48.52190208558586
Pralatrexate	0.0012	44.85009032012556	48.61581662459363
Pralatrexate	0.0037	45.6291182596675	49.460253707861014
Pralatrexate	0.011	45.158889074234416	48.95054289819764
Pralatrexate	0.0329	30.179048550639518	32.71295731558944
Pralatrexate	0.0988	28.658879681568344	31.065151247648995
Pralatrexate	0.2963	15.871781390963209	17.20441604690496
Pralatrexate	0.8889	14.16245235234213	15.351567446165227
Pralatrexate	2.6667	29.81679392934691	32.32028688584295
Pralatrexate	8	34.491693905382604	37.38770321323624
SB 271046	4e-4	44.461565898590294	48.19467071615252
SB 271046	0.0012	44.44036044799099	48.17168480262549
SB 271046	0.0037	45.871548030710365	49.72303849177646
SB 271046	0.011	44.299418655140435	48.0189091826199
SB 271046	0.0329	45.38932307472481	49.20032471651619
SB 271046	0.0988	45.74064541587962	49.581144964408566
SB 271046	0.2963	45.85225808854366	49.702128917584254
SB 271046	0.8889	45.84621481141715	49.695578231721704
SB 271046	2.6667	45.998506056681045	49.86065623268971
SB 271046	8	45.714927636170444	49.55326785527882
Z-FA-FMK	4e-4	44.607156322929974	48.35248527843042
Z-FA-FMK	0.0012	45.53743260888093	49.36086989940197
Z-FA-FMK	0.0037	45.76090166106701	49.60310197485166
Z-FA-FMK	0.011	45.21543983612447	49.01184180418433
Z-FA-FMK	0.0329	44.9782039425336	48.75468698872547
Z-FA-FMK	0.0988	44.225038300576244	47.93828366654726
Z-FA-FMK	0.2963	43.90764166062851	47.594237607000366
Z-FA-FMK	0.8889	43.303971488099585	46.93988176958896
Z-FA-FMK	2.6667	44.1941639210838	47.90481699655642
Z-FA-FMK	8	43.867744885076824	47.55099099790128
remdesivir	4e-4	43.88860359123818	47.57360105345588
remdesivir	0.0012	45.427824413237836	49.24205872417573
remdesivir	0.0037	45.40608347242539	49.21849235933142
remdesivir	0.011	45.448323616415415	49.26427909197249
remdesivir	0.0329	44.76109738109092	48.51935161473276
remdesivir	0.0988	43.73498561090291	47.40708492140544
remdesivir	0.2963	43.15118492111906	46.774266858448115
remdesivir	0.8889	42.43090293731105	45.99350818900358
remdesivir	2.6667	43.64438630031441	47.30887866499778
remdesivir	8	44.92634932066278	48.698478522476776
