t	y	t0	t1	sd	sd_label	l_t
0	0	0	12	1	sd=1	-1.039720770839918
0	0	0	12	3	sd=3	-1.039720770839918
0	0	0	12	6	sd=6	-1.039720770839918
0	0	0	12	9	sd=9	-1.039720770839918
0	0	0	12	12	sd=12	-1.039720770839918
0	0	0	20	1	sd=1	-1.039720770839918
0	0	0	20	3	sd=3	-1.039720770839918
0	0	0	20	6	sd=6	-1.039720770839918
0	0	0	20	9	sd=9	-1.039720770839918
0	0	0	20	12	sd=12	-1.039720770839918
0	0	0	28	1	sd=1	-1.039720770839918
0	0	0	28	3	sd=3	-1.039720770839918
0	0	0	28	6	sd=6	-1.039720770839918
0	0	0	28	9	sd=9	-1.039720770839918
0	0	0	28	12	sd=12	-1.039720770839918
0	0	0	36	1	sd=1	-1.039720770839918
0	0	0	36	3	sd=3	-1.039720770839918
0	0	0	36	6	sd=6	-1.039720770839918
0	0	0	36	9	sd=9	-1.039720770839918
0	0	0	36	12	sd=12	-1.039720770839918
0	0	0	48	1	sd=1	-1.039720770839918
0	0	0	48	3	sd=3	-1.039720770839918
0	0	0	48	6	sd=6	-1.039720770839918
0	0	0	48	9	sd=9	-1.039720770839918
0	0	0	48	12	sd=12	-1.039720770839918
0	0.1111111111111111	0	12	1	sd=1	-1.7547973443646498
0	0.1111111111111111	0	12	3	sd=3	-1.4059248670626214
0	0.1111111111111111	0	12	6	sd=6	-1.2228228189512695
0	0.1111111111111111	0	12	9	sd=9	-1.145718898626584
0	0.1111111111111111	0	12	12	sd=12	-1.1072982888579455
0	0.1111111111111111	0	20	1	sd=1	-1.923604922183097
0	0.1111111111111111	0	20	3	sd=3	-1.56390571661135
0	0.1111111111111111	0	20	6	sd=6	-1.3531062486015013
0	0.1111111111111111	0	20	9	sd=9	-1.2470383566168026
0	0.1111111111111111	0	20	12	sd=12	-1.1848588304728176
0	0.1111111111111111	0	28	1	sd=1	-2.0353557061514613
0	0.1111111111111111	0	28	3	sd=3	-1.6725102458349763
0	0.1111111111111111	0	28	6	sd=6	-1.4523214803608657
0	0.1111111111111111	0	28	9	sd=9	-1.3338284764765003
0	0.1111111111111111	0	28	12	sd=12	-1.2587742477557182
0	0.1111111111111111	0	36	1	sd=1	-2.1189595569572663
0	0.1111111111111111	0	36	3	sd=3	-1.7547973443646498
0	0.1111111111111111	0	36	6	sd=6	-1.5304606007009913
0	0.1111111111111111	0	36	9	sd=9	-1.4059248670626214
0	0.1111111111111111	0	36	12	sd=12	-1.3238454528796555
0	0.1111111111111111	0	48	1	sd=1	-2.214741190884761
0	0.1111111111111111	0	48	3	sd=3	-1.8496895049001965
0	0.1111111111111111	0	48	6	sd=6	-1.6224720310843312
0	0.1111111111111111	0	48	9	sd=9	-1.493513495588569
0	0.1111111111111111	0	48	12	sd=12	-1.4059248670626214
0	0.2222222222222222	0	12	1	sd=1	-2.4698739178893816
0	0.2222222222222222	0	12	3	sd=3	-1.7721289632853248
0	0.2222222222222222	0	12	6	sd=6	-1.4059248670626212
0	0.2222222222222222	0	12	9	sd=9	-1.2517170264132502
0	0.2222222222222222	0	12	12	sd=12	-1.1748758068759728
0	0.2222222222222222	0	20	1	sd=1	-2.8074890735262765
0	0.2222222222222222	0	20	3	sd=3	-2.088090662382782
0	0.2222222222222222	0	20	6	sd=6	-1.6664917263630847
0	0.2222222222222222	0	20	9	sd=9	-1.4543559423936872
0	0.2222222222222222	0	20	12	sd=12	-1.3299968901057173
0	0.2222222222222222	0	28	1	sd=1	-3.0309906414630046
0	0.2222222222222222	0	28	3	sd=3	-2.305299720830035
0	0.2222222222222222	0	28	6	sd=6	-1.8649221898818138
0	0.2222222222222222	0	28	9	sd=9	-1.6279361821130827
0	0.2222222222222222	0	28	12	sd=12	-1.4778277246715184
