condition	treatment	dose_uM	t	density	density_se	n_wells
treatment	Esomeprazole	4e-4	0	4.711723758939002e-8	NA	3
treatment	Esomeprazole	4e-4	0.1	4.9473798093205294e-8	NA	3
treatment	Esomeprazole	4e-4	0.2	5.192927616913158e-8	NA	3
treatment	Esomeprazole	4e-4	0.30000000000000004	5.4486975255658425e-8	NA	3
treatment	Esomeprazole	4e-4	0.4	5.7150313924398895e-8	NA	3
treatment	Esomeprazole	4e-4	0.5	5.992283517478358e-8	NA	3
treatment	Esomeprazole	4e-4	0.6000000000000001	6.280821655100351e-8	NA	3
treatment	Esomeprazole	4e-4	0.7000000000000001	6.581028111020205e-8	NA	3
treatment	Esomeprazole	4e-4	0.8	6.893300927028965e-8	NA	3
treatment	Esomeprazole	4e-4	0.9	7.21805515651215e-8	NA	3
treatment	Esomeprazole	4e-4	1	7.555724233440364e-8	NA	3
treatment	Esomeprazole	4e-4	1.1	7.906761437573266e-8	NA	3
treatment	Esomeprazole	4e-4	1.2000000000000002	8.271641458651537e-8	NA	3
treatment	Esomeprazole	4e-4	1.3	8.650862062408588e-8	NA	3
treatment	Esomeprazole	4e-4	1.4000000000000001	9.044945861361248e-8	NA	3
treatment	Esomeprazole	4e-4	1.5	9.454442193469775e-8	NA	3
treatment	Esomeprazole	4e-4	1.6	9.879929111977047e-8	NA	3
treatment	Esomeprazole	4e-4	1.7000000000000002	1.0322015489963235e-7	NA	3
treatment	Esomeprazole	4e-4	1.8	1.0781343243444408e-7	NA	3
treatment	Esomeprazole	4e-4	1.9000000000000001	1.1258589677190639e-7	NA	3
treatment	Esomeprazole	4e-4	2	1.1754469957807516e-7	NA	3
treatment	Esomeprazole	4e-4	2.1	1.2269739719069916e-7	NA	3
treatment	Esomeprazole	4e-4	2.2	1.280519780495873e-7	NA	3
treatment	Esomeprazole	4e-4	2.3000000000000003	1.336168915637585e-7	NA	3
treatment	Esomeprazole	4e-4	2.4000000000000004	1.3940107848067638e-7	NA	3
treatment	Esomeprazole	4e-4	2.5	1.454140028289268e-7	NA	3
treatment	Esomeprazole	4e-4	2.6	1.5166568551197053e-7	NA	3
treatment	Esomeprazole	4e-4	2.7	1.5816673963731854e-7	NA	3
treatment	Esomeprazole	4e-4	2.8000000000000003	1.6492840767262818e-7	NA	3
treatment	Esomeprazole	4e-4	2.9000000000000004	1.7196260052727319e-7	NA	3
treatment	Esomeprazole	4e-4	3	1.7928193866590304e-7	NA	3
treatment	Esomeprazole	4e-4	3.1	1.8689979536793238e-7	NA	3
treatment	Esomeprazole	4e-4	3.2	1.9483034225533546e-7	NA	3
treatment	Esomeprazole	4e-4	3.3000000000000003	2.0308859721914343e-7	NA	3
treatment	Esomeprazole	4e-4	3.4000000000000004	2.1169047488361782e-7	NA	3
treatment	Esomeprazole	4e-4	3.5	2.2065283975544694e-7	NA	3
treatment	Esomeprazole	4e-4	3.6	2.2999356221448067e-7	NA	3
treatment	Esomeprazole	4e-4	3.7	2.397315775108433e-7	NA	3
treatment	Esomeprazole	4e-4	3.8000000000000003	2.4988694794247176e-7	NA	3
treatment	Esomeprazole	4e-4	3.9000000000000004	2.604809283965639e-7	NA	3
treatment	Esomeprazole	4e-4	4	2.715360354462246e-7	NA	3
treatment	Esomeprazole	4e-4	4.1000000000000005	2.8307612020456653e-7	NA	3
treatment	Esomeprazole	4e-4	4.2	2.95126445146099e-7	NA	3
treatment	Esomeprazole	4e-4	4.3	3.077137651151734e-7	NA	3
treatment	Esomeprazole	4e-4	4.4	3.208664127502393e-7	NA	3
treatment	Esomeprazole	4e-4	4.5	3.3461438856223907e-7	NA	3
treatment	Esomeprazole	4e-4	4.6000000000000005	3.4898945591321114e-7	NA	3
treatment	Esomeprazole	4e-4	4.7	3.640252411522464e-7	NA	3
treatment	Esomeprazole	4e-4	4.800000000000001	3.7975733917272017e-7	NA	3
treatment	Esomeprazole	4e-4	4.9	3.9622342466528193e-7	NA	3
treatment	Esomeprazole	4e-4	5	4.134633693480234e-7	NA	3
treatment	Esomeprazole	4e-4	5.1000000000000005	4.3151936546585326e-7	NA	3
treatment	Esomeprazole	4e-4	5.2	4.5043605585666126e-7	NA	3
treatment	Esomeprazole	4e-4	5.300000000000001	4.7026067089237205e-7	NA	3
treatment	Esomeprazole	4e-4	5.4	4.910431726091349e-7	NA	3
treatment	Esomeprazole	4e-4	5.5	5.128364063488239e-7	NA	3
treatment	Esomeprazole	4e-4	5.6000000000000005	5.356962602413375e-7	NA	3
treatment	Esomeprazole	4e-4	5.7	5.596818328636839e-7	NA	3
treatment	Esomeprazole	4e-4	5.800000000000001	5.848556094180113e-7	NA	3
treatment	Esomeprazole	4e-4	5.9	6.112836467776498e-7	NA	3
treatment	Esomeprazole	4e-4	6	6.390357677545764e-7	NA	3
treatment	Esomeprazole	4e-4	6.1000000000000005	6.681857649483448e-7	NA	3
treatment	Esomeprazole	4e-4	6.2	6.988116145401386e-7	NA	3
treatment	Esomeprazole	4e-4	6.300000000000001	7.309957004012341e-7	NA	3
treatment	Esomeprazole	4e-4	6.4	7.648250488890267e-7	NA	3
treatment	Esomeprazole	4e-4	6.5	8.003915747069404e-7	NA	3
treatment	Esomeprazole	4e-4	6.6000000000000005	8.377923382105502e-7	NA	3
treatment	Esomeprazole	4e-4	6.7	8.771298145438427e-7	NA	3
treatment	Esomeprazole	4e-4	6.800000000000001	9.185121749955481e-7	NA	3
treatment	Esomeprazole	4e-4	6.9	9.620535809676376e-7	NA	3
