scale	df	condition	treatment	dose_uM	t	density	density_se	n_wells
6	1	treatment	Esomeprazole	4e-4	0	1.5077326202918816e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.1	1.5614335750398905e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.2	1.6162202313485442e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.30000000000000004	1.672083422629704e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.4	1.729015244473605e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.5	1.787009415226681e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.6000000000000001	1.8460616380096102e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.7000000000000001	1.9061699608040904e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.8	1.967335131416996e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	0.9	2.029560944385587e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1	2.0928545771953616e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.1	2.157226913555415e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.2000000000000002	2.2226928518745703e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.3	2.2892715975298767e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.4000000000000001	2.3569869379573755e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.5	2.425867500067926e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.6	2.495946989930515e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.7000000000000002	2.5672644151077284e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.8	2.6398642904302463e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	1.9000000000000001	2.7137968283729542e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2	2.789118115530111e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.1	2.8658902769748657e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.2	2.94418163052965e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.3000000000000003	3.024066833171967e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.4000000000000004	3.1056270219454345e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.5	3.1889499518455016e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.6	3.27413013321411e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.7	3.3612689711898376e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.8000000000000003	3.4504749097534724e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	2.9000000000000004	3.541863582855857e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3	3.6355579750498247e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.1	3.7316885939573274e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.2	3.830393656790333e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.3000000000000003	3.931819293034289e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.4000000000000004	4.036119765267984e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.5	4.1434577099698765e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.6	4.2540044000324246e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.7	4.367940030559519e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.8000000000000003	4.485454029417146e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	3.9000000000000004	4.606745393870584e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4	4.732023054522168e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4.1000000000000005	4.861506267660195e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4.2	4.995425037016941e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4.3	5.13402056582747e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4.4	5.2775457399874285e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4.5	5.426265643012471e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4.6000000000000005	5.580458103394459e-6	NA	3
6	1	treatment	Esomeprazole	4e-4	4.7	5.74041427486881e-6	NA	3
