scale	df	condition	treatment	dose_uM	t	density	density_se	n_wells
3	2	treatment	Esomeprazole	4e-4	0	9.00986485459808e-9	NA	3
3	2	treatment	Esomeprazole	4e-4	0.1	9.475110526990046e-9	NA	3
3	2	treatment	Esomeprazole	4e-4	0.2	9.94058416816365e-9	NA	3
3	2	treatment	Esomeprazole	4e-4	0.30000000000000004	1.0404259756425166e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	0.4	1.0864167315116973e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	0.5	1.1318429344471136e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	0.6000000000000001	1.1765294855853944e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	0.7000000000000001	1.2203169985563369e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	0.8	1.263064434068562e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	0.9	1.3046512441416125e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1	1.3449789857497123e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.1	1.3839723875541083e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.2000000000000002	1.421579876399305e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.3	1.4577735910592686e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.4000000000000001	1.492548928327458e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.5	1.5259236802799643e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.6	1.5579368310893115e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.7000000000000002	1.5886470871091692e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.8	1.6181312153867063e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	1.9000000000000001	1.646482263753247e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2	1.673807730848626e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.1	1.7002277475302584e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.2	1.7258733228196417e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.3000000000000003	1.7508846985038065e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.4000000000000004	1.775409847318012e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.5	1.7996031407687044e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.6	1.823624204462902e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.7	1.8476369715678073e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.8000000000000003	1.871808938856698e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	2.9000000000000004	1.8963106247896752e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3	1.9213152252026653e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.1	1.9469984593928137e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.2	1.9735385975775832e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.3000000000000003	2.0011166597651386e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.4000000000000004	2.02991677586497e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.5	2.0601266972615272e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.6	2.0919384509595552e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.7	2.1255491286637e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.8000000000000003	2.1611618046877287e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	3.9000000000000004	2.1989865783240005e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4	2.239241738164928e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.1000000000000005	2.2821550478289634e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.2	2.327965154533514e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.3	2.3769231239849747e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.4	2.429294107096353e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.5	2.4853591460695344e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.6000000000000005	2.5454171294312433e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.7	2.609786907663052e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.800000000000001	2.6788095831354756e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	4.9	2.752850990166148e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5	2.8323043831681976e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.1000000000000005	2.9175933530764577e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.2	3.009174994508772e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.300000000000001	3.107543348511774e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.4	3.213233148204789e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.5	3.326823897214772e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.6000000000000005	3.448944313505462e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.7	3.5802771740015486e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.800000000000001	3.721564598346764e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	5.9	3.8736138131545985e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6	4.037303441216992e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.1000000000000005	4.213590363307455e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.2	4.4035172033730214e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.300000000000001	4.608220491045302e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.4	4.8289395584001285e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.5	5.067026230696045e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.6000000000000005	5.323955373253961e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.7	5.601336358635971e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.800000000000001	5.900925519556011e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	6.9	6.224639653379909e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7	6.574570643314358e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.1000000000000005	6.953001259169278e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.2	7.36242219650925e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.300000000000001	7.805550406677469e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.4	8.285348761062849e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.5	8.805047080548222e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.6000000000000005	9.368164544693491e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.7	9.978533474138538e-8	NA	3
3	2	treatment	Esomeprazole	4e-4	7.800000000000001	1.0640324453292588e-7	NA	3
