PlateID,row,column,time_point_h,condition,treatment,dose_uM
DR_20221209_143805,1,1,48,NC,MOI 2,0
DR_20221209_143805,1,2,48,NC,MOI 2,0
DR_20221209_143805,1,3,48,treatment,Nexium,8
DR_20221209_143805,1,4,48,treatment,Nexium,2.6667
DR_20221209_143805,1,5,48,treatment,Nexium,0.8889
DR_20221209_143805,1,6,48,treatment,Nexium,0.2963
DR_20221209_143805,1,7,48,treatment,Nexium,0.0988
DR_20221209_143805,1,8,48,treatment,Nexium,0.0329
DR_20221209_143805,1,9,48,treatment,Nexium,0.011
DR_20221209_143805,1,10,48,treatment,Nexium,0.0037
DR_20221209_143805,1,11,48,treatment,Nexium,0.0012
DR_20221209_143805,1,12,48,treatment,Nexium,0.0004
DR_20221209_143805,1,13,48,treatment,GW788388,8
DR_20221209_143805,1,14,48,treatment,GW788388,2.6667
DR_20221209_143805,1,15,48,treatment,GW788388,0.8889
DR_20221209_143805,1,16,48,treatment,GW788388,0.2963
DR_20221209_143805,1,17,48,treatment,GW788388,0.0988
DR_20221209_143805,1,18,48,treatment,GW788388,0.0329
DR_20221209_143805,1,19,48,treatment,GW788388,0.011
DR_20221209_143805,1,20,48,treatment,GW788388,0.0037
DR_20221209_143805,1,21,48,treatment,GW788388,0.0012
DR_20221209_143805,1,22,48,treatment,GW788388,0.0004
DR_20221209_143805,1,23,48,PC,Mock,0
DR_20221209_143805,1,24,48,PC,Mock,0
DR_20221209_143805,2,1,48,NC,MOI 2,0
DR_20221209_143805,2,2,48,NC,MOI 2,0
DR_20221209_143805,2,3,48,treatment,Nexium,8
DR_20221209_143805,2,4,48,treatment,Nexium,2.6667
DR_20221209_143805,2,5,48,treatment,Nexium,0.8889
DR_20221209_143805,2,6,48,treatment,Nexium,0.2963
DR_20221209_143805,2,7,48,treatment,Nexium,0.0988
DR_20221209_143805,2,8,48,treatment,Nexium,0.0329
DR_20221209_143805,2,9,48,treatment,Nexium,0.011
DR_20221209_143805,2,10,48,treatment,Nexium,0.0037
DR_20221209_143805,2,11,48,treatment,Nexium,0.0012
DR_20221209_143805,2,12,48,treatment,Nexium,0.0004
DR_20221209_143805,2,13,48,treatment,GW788388,8
DR_20221209_143805,2,14,48,treatment,GW788388,2.6667
DR_20221209_143805,2,15,48,treatment,GW788388,0.8889
DR_20221209_143805,2,16,48,treatment,GW788388,0.2963
DR_20221209_143805,2,17,48,treatment,GW788388,0.0988
DR_20221209_143805,2,18,48,treatment,GW788388,0.0329
DR_20221209_143805,2,19,48,treatment,GW788388,0.011
DR_20221209_143805,2,20,48,treatment,GW788388,0.0037
DR_20221209_143805,2,21,48,treatment,GW788388,0.0012
DR_20221209_143805,2,22,48,treatment,GW788388,0.0004
DR_20221209_143805,2,23,48,PC,Mock,0
DR_20221209_143805,2,24,48,PC,Mock,0
DR_20221209_143805,3,1,48,NC,MOI 2,0
DR_20221209_143805,3,2,48,NC,MOI 2,0
DR_20221209_143805,3,3,48,treatment,Nexium,8
DR_20221209_143805,3,4,48,treatment,Nexium,2.6667
DR_20221209_143805,3,5,48,treatment,Nexium,0.8889
DR_20221209_143805,3,6,48,treatment,Nexium,0.2963
DR_20221209_143805,3,7,48,treatment,Nexium,0.0988
DR_20221209_143805,3,8,48,treatment,Nexium,0.0329
DR_20221209_143805,3,9,48,treatment,Nexium,0.011
DR_20221209_143805,3,10,48,treatment,Nexium,0.0037
DR_20221209_143805,3,11,48,treatment,Nexium,0.0012
DR_20221209_143805,3,12,48,treatment,Nexium,0.0004
DR_20221209_143805,3,13,48,treatment,GW788388,8
DR_20221209_143805,3,14,48,treatment,GW788388,2.6667
DR_20221209_143805,3,15,48,treatment,GW788388,0.8889
DR_20221209_143805,3,16,48,treatment,GW788388,0.2963
DR_20221209_143805,3,17,48,treatment,GW788388,0.0988
DR_20221209_143805,3,18,48,treatment,GW788388,0.0329
DR_20221209_143805,3,19,48,treatment,GW788388,0.011
DR_20221209_143805,3,20,48,treatment,GW788388,0.0037
DR_20221209_143805,3,21,48,treatment,GW788388,0.0012
DR_20221209_143805,3,22,48,treatment,GW788388,0.0004
DR_20221209_143805,3,23,48,PC,Mock,0
DR_20221209_143805,3,24,48,PC,Mock,0
DR_20221209_143805,4,1,48,NC,MOI 2,0
DR_20221209_143805,4,2,48,NC,MOI 2,0
DR_20221209_143805,4,3,48,treatment,Pralatrexate,8
DR_20221209_143805,4,4,48,treatment,Pralatrexate,2.6667
DR_20221209_143805,4,5,48,treatment,Pralatrexate,0.8889
DR_20221209_143805,4,6,48,treatment,Pralatrexate,0.2963
DR_20221209_143805,4,7,48,treatment,Pralatrexate,0.0988
DR_20221209_143805,4,8,48,treatment,Pralatrexate,0.0329
DR_20221209_143805,4,9,48,treatment,Pralatrexate,0.011
DR_20221209_143805,4,10,48,treatment,Pralatrexate,0.0037
DR_20221209_143805,4,11,48,treatment,Pralatrexate,0.0012
DR_20221209_143805,4,12,48,treatment,Pralatrexate,0.0004
DR_20221209_143805,4,13,48,treatment,GW4064,8
DR_20221209_143805,4,14,48,treatment,GW4064,2.6667
DR_20221209_143805,4,15,48,treatment,GW4064,0.8889
DR_20221209_143805,4,16,48,treatment,GW4064,0.2963
DR_20221209_143805,4,17,48,treatment,GW4064,0.0988
DR_20221209_143805,4,18,48,treatment,GW4064,0.0329
DR_20221209_143805,4,19,48,treatment,GW4064,0.011
DR_20221209_143805,4,20,48,treatment,GW4064,0.0037
DR_20221209_143805,4,21,48,treatment,GW4064,0.0012
DR_20221209_143805,4,22,48,treatment,GW4064,0.0004
DR_20221209_143805,4,23,48,PC,Mock,0
DR_20221209_143805,4,24,48,PC,Mock,0
DR_20221209_143805,5,1,48,NC,MOI 2,0
DR_20221209_143805,5,2,48,NC,MOI 2,0
DR_20221209_143805,5,3,48,treatment,Pralatrexate,8
DR_20221209_143805,5,4,48,treatment,Pralatrexate,2.6667
DR_20221209_143805,5,5,48,treatment,Pralatrexate,0.8889
DR_20221209_143805,5,6,48,treatment,Pralatrexate,0.2963
DR_20221209_143805,5,7,48,treatment,Pralatrexate,0.0988
DR_20221209_143805,5,8,48,treatment,Pralatrexate,0.0329
